Id;source;latitude;longitude;region;country;admin1;localityName;localityQuality;observationDate;reportingDate;status;disease;serotypes;speciesDescription;sumAtRisk;sumCases;sumDeaths;sumDestroyed;sumSlaughtered;humansGenderDesc;humansAge;humansAffected;humansDeaths
258959;OIE;23.81504;120.39092;Asia;Taiwan (Province of China);Taiwan Sheng;Erlun Township;Exact;2019-08-31;2019-09-16;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;32118;3209;3209;28909;;;;;
258958;OIE;25.03067;121.48937;Asia;Taiwan (Province of China);Taiwan Sheng;Wanhua District;Exact;2019-08-28;2019-09-16;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;41;1;;41;;;;;
258957;OIE;23.94201;120.34851;Asia;Taiwan (Province of China);Taiwan Sheng;Fangyuan Township;Exact;2019-08-23;2019-09-16;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, duck;444;;;444;;;;;
258705;OIE;-33.0458456;-71.6196749;Americas;Chile;Valparaiso;El Peumo;Exact;2019-08-27;2019-09-04;Confirmed;Influenza - Avian;H7 LPAI;domestic, turkey;67500;13000;;67500;;;;;
258704;OIE;10.0711;106.2951;Asia;Viet Nam;Ben Tre;Thanh Thoi B;Exact;2019-08-18;2019-09-08;Confirmed;Influenza - Avian;H5N6 HPAI;domestic, unspecified bird;1026;138;138;888;;;;;
258702;OIE;23.59023;120.40844;Asia;Taiwan (Province of China);Taiwan Sheng;Xikou Township;Exact;2019-08-28;2019-09-06;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, quail;48684;2500;2500;46184;;;;;
258633;OIE;26.55805556;87.51611111;Asia;Nepal;Eastern;Kanepokhari-3;Exact;2019-08-19;2019-09-02;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, unspecified bird;417;195;195;222;;;;;
258427;OIE;23.850747;120.305667;Asia;Taiwan (Province of China);Taiwan Sheng;Dacheng Township;Exact;2019-08-10;2019-08-21;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;18912;882;882;18030;;;;;
258426;OIE;23.74108;120.23136;Asia;Taiwan (Province of China);Taiwan Sheng;Taixi Township;Exact;2019-08-05;2019-08-21;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, goose;266;;;266;;;;;
258425;OIE;25.03067;121.48937;Asia;Taiwan (Province of China);Taiwan Sheng;Wanhua District;Exact;2019-08-04;2019-08-21;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;3;1;;3;;;;;
258263;OIE;39.916667;116.383333;Asia;China;Beijing Shi;Beijing;Centroid Locality;2019-08-11;2019-08-19;Confirmed;Influenza - Avian;H5N6 HPAI;;;;;;;;;1;
258235;OIE;-34.0;21.4;Africa;South Africa;Western Cape;HPAI_H5N8_2017_207;Exact;2019-06-11;2019-08-16;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, ostrich;1422;8;;;;;;;
258234;OIE;-32.1;21.6;Africa;South Africa;Northern Cape;HPAI_H5N8_2017_208;Exact;2019-07-01;2019-08-16;Confirmed;Influenza - Avian;H5N8 HPAI;wild,egyptian goose (alopochen aegyptiacus));;6;;;;;;;
258233;OIE;23.731083;120.237466;Asia;Taiwan (Province of China);Taiwan Sheng;Taixi Township;Exact;2019-07-29;2019-08-12;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;6664;275;275;6389;;;;;
258232;OIE;25.03067;121.48937;Asia;Taiwan (Province of China);Taiwan Sheng;Wanhua District;Exact;2019-07-25;2019-08-12;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;44;3;;44;;;;;
258187;OIE;10.4934;107.4088;Asia;Viet Nam;Ba Ria-Vung Tau;Ho Tram;Exact;2019-08-05;2019-08-08;Confirmed;Influenza - Avian;H5N6 HPAI;domestic, unspecified bird;4700;4700;;4700;;;;;
258101;OIE;23.869261;120.28921;Asia;Taiwan (Province of China);Taiwan Sheng;Dacheng Township;Exact;2019-07-22;2019-08-06;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;9675;1919;1919;7756;0;;;;
258100;OIE;23.76601;120.24216;Asia;Taiwan (Province of China);Taiwan Sheng;Mailiao Township;Exact;2019-07-20;2019-08-06;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;4832;2192;2192;2640;0;;;;
258099;OIE;23.689834;120.261344;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Exact;2019-07-18;2019-08-06;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;13227;847;847;12380;0;;;;
258098;OIE;23.710572;120.249017;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Exact;2019-07-18;2019-08-06;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;23230;517;517;22713;0;;;;
257975;OIE;20.513053;-99.79096;Americas;Mexico;Hidalgo;Pedro Escobedo;Exact;2019-07-11;2019-07-26;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;21644;10000;4275;17369;0;;;;
257974;OIE;20.911669;-100.912744;Americas;Mexico;Guanajuato;Dolores Hidalgo;Exact;2019-07-10;2019-07-26;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;20;5;4;16;0;;;;
257973;OIE;20.74421;-100.03835;Americas;Mexico;Queretaro;Colón;Exact;2019-07-03;2019-07-26;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;174163;10;0;0;0;;;;
257972;OIE;19.660806;-96.926416;Americas;Mexico;Veracruz;Coacoatzintla;Exact;2019-06-29;2019-07-26;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;25;13;3;22;0;;;;
257971;OIE;23.639212;120.302376;Asia;Taiwan (Province of China);Taiwan Sheng;Yuanchang Township;Exact;2019-07-15;2019-07-29;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;22809;290;290;22519;0;;;;
257970;OIE;23.98599;120.37583;Asia;Taiwan (Province of China);Taiwan Sheng;Fangyuan Township;Exact;2019-07-12;2019-07-29;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, duck;1531;0;0;1531;0;;;;
257539;OIE;20.513053;-99.79096;Americas;Mexico;Hidalgo;Pedro escobedo;Exact;2019-07-11;2019-07-29;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;21644;10000;4275;17369;;;;;
257538;OIE;20.911669;-100.912744;Americas;Mexico;Guanajuato;Dolores Hidalgo;Exact;2019-07-10;2019-07-29;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;20;5;4;16;;;;;
257537;OIE;20.74421;-100.03835;Americas;Mexico;Queretaro;Colon;Exact;2019-07-03;2019-07-29;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;174163;10;0;0;;;;;
257536;OIE;19.660805;-96.926416;Americas;Mexico;Veracruz;Coacoatzintla;Exact;2019-06-29;2019-07-29;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;25;13;3;22;;;;;
255727;OIE;25.03067;121.48937;Asia;Taiwan (Province of China);Taiwan Sheng;Wanhua District;Unknown;2019-07-02;2019-07-17;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;14;2;0;14;0;;;;
255395;OIE;23.652518;120.255147;Asia;Taiwan (Province of China);Taiwan Sheng;Sihu Township;Unknown;2019-07-04;2019-07-09;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, turkey;1467;346;346;1121;0;;;;
255394;OIE;23.836218;120.316942;Asia;Taiwan (Province of China);Taiwan Sheng;Dacheng Township;Unknown;2019-07-01;2019-07-09;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, chicken;15295;106;106;15189;0;;;;
255393;OIE;23.676338;120.240531;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Unknown;2019-06-21;2019-07-09;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, duck;3908;0;0;3908;0;;;;
255392;OIE;23.674181;120.236253;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Unknown;2019-06-21;2019-07-09;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, duck;2612;0;0;2612;0;;;;
255264;OIE;-32.1;21.6;Africa;South Africa;Northern Cape; HPAI_H5N8_2017_206, Karoo Hoogland, Northern Cape Province ;Exact;2019-06-21;2019-07-10;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, ostrich;1440;22;0;0;0;;0;;
255241;OIE;20.6987;-101.0526;Americas;Mexico;Guanajuato;Santa Cruz de Juventino Rosas;Unknown;2019-06-19;2019-07-08;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;50;30;25;25;0;;;;
255240;OIE;20.450833;-103.250555;Americas;Mexico;Jalisco;Tlajomulco de Zuñiga;Unknown;2019-06-11;2019-07-08;Confirmed;Influenza - Avian;H7N3 HPAI;domestic, unspecified bird;210;10;10;200;0;;;;
