id_event;type_event;reference;disease;serotype;latitude;longitude;country;admin;locality;observationdate;reportingdate;host;type_host;at_risk;cases;dead;destroyed
351;official;254656;Influenza - Avian;H5N2 HPAI;23.990492;120.378555;Taiwan (Province of China);Taiwan Sheng;Fangyuan Township;2019-06-18;2019-06-25;domestic, chicken;domestic;29030;1070;1070;27960
352;official;249548;Influenza - Avian;H5N1 HPAI;27.718573;85.317751;Nepal;Central;Lainchaur;2019-03-17;2019-03-26;wild, crow;wild;NA;200;200;NA
353;official;251626;Influenza - Avian;H5N6 HPAI;10.98066;104.7799;Cambodia;Takeo;Daunkeo market;2019-03-25;2019-04-18;domestic, unspecified bird;domestic;100;10;NA;90
354;official;251274;Influenza - Avian;H5N1 HPAI;26.8382;89.1136;Bhutan;Samtse;Dhamdara;2019-04-06;2019-04-11;domestic, unspecified bird;domestic;2000;264;264;1095
355;official;250118;Influenza - Avian;H5N1 HPAI;42.13527;122.79055;China;Liaoning Sheng;Xinmin City;NA;2019-03-31;domestic, unspecified bird;domestic;25472;1000;1000;24472
356;official;249487;Influenza - Avian;H5N1 HPAI;27.771416;85.318687;Nepal;Central;Tarkeshwor;2019-03-07;2019-03-24;domestic, chicken;domestic;30673;2125;2125;28548
357;official;249046;Influenza - Avian;H5N1 HPAI;27.769718;85.317463;Nepal;Central;Tarkeshwor-1;2019-02-28;2019-03-17;domestic, unspecified bird;domestic;5852;2600;2600;3252
358;official;248643;Influenza - Avian;H5N6 HPAI;15.4813;108.367;Viet Nam;Quang Nam;Tien Tho;2019-02-11;2019-03-11;domestic, duck;domestic;3800;1350;;3800
360;official;248299;Influenza - Avian;H5N2 HPAI;31.01;31.32;Egypt;Dakahlia;Ouaish Elhagar;NA;2018-12-31;domestic, duck;domestic;1000;10;NA;10
361;official;247622;Influenza - Avian;H5N6 HPAI;26.958208;100.66324;China;Yunnan Sheng;Huaping County;NA;2019-02-22;domestic, unspecified bird;domestic;2861;463;463;NA
362;official;247389;Influenza - Avian;H5N8 HPAI;9.81123;8.903228;Nigeria;Plateau;Bukuru;2019-02-11;2019-02-15;domestic, chicken;domestic;1040;60;60;980
363;official;247388;Influenza - Avian;H5N8 HPAI;9.86002;8.82131;Nigeria;Plateau;Rantya;2019-02-07;2019-02-15;domestic, chicken;domestic;2900;11;11;2889
364;official;247852;Influenza - Avian;H5N2 HPAI;23.852358;120.289689;Taiwan (Province of China);Taiwan Sheng;Dacheng;2019-02-13;2019-02-26;domestic, chicken;domestic;34990;2450;2450;32540
365;official;247662;Influenza - Avian;H5N1 HPAI;25.180833;87.349167;India;Jharkhand;Fajilkhutahari;2019-01-25;2019-02-16;domestic, unspecified bird;domestic;4849;26;26;4823
367;official;246208;Influenza - Avian;H5N8 HPAI;-26.65;15.08;Namibia;Karas;Halifax Island;2019-01-27;2019-02-12;wild, jackass penguin spheniscus demersus;wild;7000;223;217;6
368;official;247631;Influenza - Avian;H5N1 HPAI;24.8255;87.2135;India;Jharkhand;DC Campus, Godda;2019-01-28;2019-02-22;wild, crow;wild;NA;12;12;0
369;official;246251;Influenza - Avian;H5N8 HPAI;29.311193;47.951374;Kuwait;Al Farwaniyah;Al Rai Live Bird Market;2019-01-24;2019-02-05;domestic, unspecified bird;domestic;2000;3;3;1997
370;official;247632;Influenza - Avian;H5N1 HPAI;23.8081;85.8233;India;Jharkhand;Gomia;2019-01-28;2019-02-22;wild, crow;wild;NA;25;25;0
371;official;247850;Influenza - Avian;H5N2 HPAI;23.688737;120.267855;Taiwan (Province of China);Taiwan Sheng;Dongshi;2019-01-26;2019-02-26;domestic, chicken;domestic;12713;1609;1609;11104
372;official;244981;Influenza - Avian;H5N1 HPAI;20.454265;85.879212;India;Orissa;Cuttack municipality;2018-12-18;2019-01-07;wild, crow;wild;NA;3;3;NA
373;official;246066;Influenza - Avian;H5N2 HPAI;24.91308;121.013272;Taiwan (Province of China);Taiwan Sheng;Xinfeng Township;2019-01-23;2019-01-28;domestic, chicken;domestic;100;100;100;NA
374;official;245752;Influenza - Avian;H7N9 LPAI;36.806991;127.150335;Republic of Korea;Chungchongnam-do;Dongnam District;2019-01-17;2019-01-25;environmental sample, unspecified env. sample;environmental;NA;NA;NA;NA
375;official;245197;Influenza - Avian;H5 HPAI;47.508678;40.526786;Russian Federation;Rostovskaya Oblast;Ursdon;2019-01-04;2019-01-11;domestic, turkey;domestic;17211;6355;6355;NA
377;official;244978;Influenza - Avian;H5N1 HPAI;25.3652;86.4922;India;Bihar;Mubarakchak;2018-12-15;2019-01-07;wild, crow;wild;NA;40;40;NA
378;official;244979;Influenza - Avian;H5N1 HPAI;25.59945;85.09889;India;Bihar;Patna (Sanjay Gandhi Zoological Park);2018-12-15;2019-01-07;wild,phasianidae (phasianidae));wild;NA;6;6;NA
379;official;246689;Influenza - Avian;H7N7 LPAI;37.75;128.9;Republic of Korea;Kang-won-do;Namdaecheon, Gangneung City, Gangwon-do on;2019-01-07;2019-01-09;environmental sample, unspecified bird;environmental;NA;NA;NA;NA
381;official;247630;Influenza - Avian;H5N1 HPAI;25.216151;84.996358;India;Bihar;Collector Office Campus, Jehanabad;2019-02-01;2019-02-21;wild, crow;wild;NA;18;18;0
383;official;243942;Influenza - Avian;H5N1 HPAI;19.56816;85.241236;India;Orissa;Budhibara(Sanasahi) and Patharagang;2018-12-07;2018-12-14;domestic, unspecified bird;domestic;6123;5603;5603;520
384;official;244809;Influenza - Avian;H5N1 HPAI;19.485;85.17305;India;Orissa;Nandala;2018-12-18;2018-12-28;domestic, unspecified bird;domestic;548;0;0;548
386;official;244806;Influenza - Avian;H5N1 HPAI;19.555775;85.247881;India;Orissa;Malud;2018-12-07;2018-12-28;domestic, unspecified bird;domestic;185;0;0;185
388;official;244155;Influenza - Avian;H5 HPAI;44.0969;22.6353;Bulgaria;Vidin;Kosovo;2018-12-17;2018-12-17;domestic,chicken,domestic,pigeon,domestic,common pheasant (phasianus colchicus));domestic;403;NA;NA;NA
389;official;244551;Influenza - Avian;H5N1 HPAI;19.6275;85.30194444;India;Orissa;Alanda and Siala;2018-12-07;2018-12-15;wild, house crow;wild;NA;120;120;0
390;official;244064;Influenza - Avian;H5N2 HPAI;23.694838;120.246618;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;2018-11-26;2018-12-17;domestic, duck;domestic;3152;NA;NA;3152
391;official;243273;Influenza - Avian;H5N8 HPAI;35.70049;52.0575;Iran  (Islamic Republic of);Tehran;Valiran;2018-09-30;2018-12-01;domestic, unspecified bird;domestic;138;10;5;133
392;official;242545;Influenza - Avian;H5N2 LPAI;45.557;-94.162;United States of America;Minnesota;Stearns County;2018-10-31;2018-11-08;domestic, turkey;domestic;24000;0;0;0
393;official;240868;Influenza - Avian;H5N8 HPAI;42.2047;24.9581;Bulgaria;Plovdiv;Manolsko Konare;2018-10-03;2018-10-05;domestic, chicken, domestic, turkey;domestic;406;98;98;308
394;official;241946;Influenza - Avian;H5N2 LPAI;45.122;-95.049;United States of America;Minnesota;Kandiyohi County;2018-10-19;2018-10-22;domestic, turkey;domestic;40000;NA;NA;NA
395;official;240989;Influenza - Avian;H5N6 HPAI;27.809;109.392;China;Hunan Sheng;Dutong Village,Chatian Township, Fenghuang County;2018-09-26;2018-10-09;domestic, unspecified bird;domestic;1414;516;385;1029
396;official;240709;Influenza - Avian;H5N6 HPAI;25.832;106.665;China;Guizhou Sheng;Xinmin Village;2018-09-07;2018-09-29;domestic, unspecified bird;domestic;37299;5297;4948;32351
397;official;240524;Influenza - Avian;H5N8 HPAI;42.2089;24.8764;Bulgaria;Plovdiv;Trilistnik;2018-09-19;2018-09-19;domestic, unspecified bird;domestic;44063;415;415;43648
399;official;240233;Influenza - Avian;H7N3 LPAI;37.51;-120.988;United States of America;California;Stanislaus County;2018-09-06;2018-09-12;domestic, turkey;domestic;26258;NA;NA;26258
400;official;239383;Influenza - Avian;H5N1 HPAI;11.97;105.67;Cambodia;Kampong Cham;Trorpang Sangker;2018-08-20;2018-08-31;domestic, unspecified bird;domestic;378;318;318;60
401;official;239017;Influenza - Avian;H5N2 HPAI;58.951231;46.514801;Russian Federation;Kostromskaya Oblast;Harino;2018-08-09;2018-08-16;domestic, unspecified bird;domestic;498485;506;506;1223
402;official;238793;Influenza - Avian;H5N1 HPAI;6.105563;116.229785;Malaysia;Sabah;Kampung Kauluan;2018-07-27;2018-08-06;domestic, chicken;domestic;28000;3000;3000;25000
403;official;239195;Influenza - Avian;H5N1 HPAI;6.161317;116.31795;Malaysia;Sabah;Kampung Laputung;2018-08-03;2018-08-25;domestic, chicken;domestic;239;8;8;231
404;official;238790;Influenza - Avian;H5N6 HPAI;19.0306;105.5515;Viet Nam;Nghe An;Dien Lien;2018-07-28;2018-08-03;domestic, unspecified bird;domestic;2400;90;90;2310
405;official;238791;Influenza - Avian;H5N6 HPAI;20.9105;106.609;Viet Nam;Hai Phong City;An Hong;2018-07-28;2018-08-03;domestic, unspecified bird;domestic;4720;1000;500;4220
406;official;238792;Influenza - Avian;H5N6 HPAI;20.9063;106.5885;Viet Nam;Hai Phong City;An Hung;2018-07-30;2018-08-03;domestic, unspecified bird;domestic;5500;2000;1000;4500
407;official;238468;Influenza - Avian;H5N8 HPAI;23.402081;45.23404;Saudi Arabia;Riyad;Alazizia live bird market;2018-07-17;2018-07-17;domestic, ducks;domestic;14675;1;0;14675
408;official;239019;Influenza - Avian;H5N8 HPAI;43.63183;27.63009;Bulgaria;Dobrich;Miladinovtsi;2018-07-06;2018-08-17;domestic, unspecified bird;domestic;62;10;10;52
411;official;251626;Influenza - Avian;H5N6 HPAI;10.98066;104.7799;Cambodia;Takeo;Daunkeo market;2019-03-25;2019-04-18;domestic, unspecified bird;domestic;100;10;NA;90
412;official;250202;Influenza - Avian;H5 HPAI;43.0747;24.0764;Bulgaria;Lovech;Lovech;2019-04-02;2019-04-03;domestic, unspecified bird;domestic;1400;20;0;1400
416;official;243659;Influenza - Avian;H5N6 HPAI;31.439757;120.780204;China;Jiangsu Sheng;Suzhou;2018-10-29;2018-11-23;NA;unspecified;NA;NA;NA;NA
417;official;242731;Influenza - Avian;H5N6 HPAI;25.558;102.465;China;Yunnan Sheng;Guantian Village,Pingshan Township, Luquan,;2018-11-03;2018-11-21;domestic, unspecified bird;domestic;13884;6540;5400;8484
418;official;242729;Influenza - Avian;H5N6 HPAI;25.101;98.587;China;Yunnan Sheng;Dengjiazai Village,Beihai Township, Tengchong City;2018-10-28;2018-11-21;domestic, unspecified bird;domestic;6216;4800;4420;1796
421;official;241765;Influenza - Avian;H5 HPAI;41.86;25.55;Bulgaria;Haskovo;Voyvodovo;2018-10-17;2018-10-18;domestic, chicken;domestic;130000;7387;7387;122613
422;official;241761;Influenza - Avian;H5 HPAI;41.86;25.55;Bulgaria;Haskovo;Voyvodovo;2018-10-17;2018-10-18;domestic, duck;domestic;16000;331;331;15669
425;official;254907;Influenza - Avian;H5 LPAI;55.31;11.5799;Denmark;Vestsjaelland;Fuglebjerg;2019-06-25;2019-06-28;domestic, unspecified bird;domestic;3000;0;0;0
426;official;244811;Influenza - Avian;H5N1 HPAI;25.191151;86.62709;India;Bihar;Goraho;2018-11-15;2018-12-28;domestic, unspecified bird;domestic;705;117;117;588
427;official;244063;Influenza - Avian;H5N2 HPAI;23.695853;120.245367;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;2018-11-21;2018-12-17;domestic, duck;domestic;1891;NA;NA;1891
