id;id_path;source_1;source_2;id_from_source_1;date_edge
1;1;HealthMap;Focus Taiwan;6533444;2019-06-22
2;1;Focus Taiwan;Taiwan Vet Auth;6533444;2019-06-22
4;2;HealthMap;The Himalayan Times;6496096;2019-05-31
5;3;HealthMap;Xinhua;6430421;2019-04-19
6;3;Xinhua;OIE;6430421;2019-04-19
7;3;OIE;Cambodia Vet Auth;6430421;2019-04-18
8;4;HealthMap;ProMED;6418964;2019-04-13
9;4;ProMED;OIE;6418964;2019-04-13
10;4;OIE;Bhutan Vet Auth;6418964;2019-04-11
11;5;HealthMap;Reuters;6399058;2019-04-02
12;5;Reuters;China Vet Auth;6399058;2019-04-02
13;6;HealthMap;Setopati;6372413;2019-03-17
14;6;Setopati;Nepal's Department of Livestock Services;6372413;2019-03-17
15;7;HealthMap;Xinhua;6356822;2019-03-08
16;7;Xinhua;Quang Nam agriculture center;6356822;2019-03-08
17;8;HealthMap;Twitter;6350016;2019-03-03
18;8;Twitter;FluTrackers;6350016;2019-03-03
19;8;FluTrackers;Egypt Vet Auth;6350016;2019-03-03
20;9;HealthMap;Physician's Weekly;6330863;2019-02-22
21;9;Physician's Weekly;Reuters;6330863;2019-02-22
22;9;Reuters;China Vet Auth;6330863;2019-02-22
23;10;HealthMap;Pulse.ng;6325358;2019-02-19
24;10;Pulse.ng;News Agency of Nigeria;6325358;2019-02-19
25;10;News Agency of Nigeria;Chief vet of the state;6325358;2019-02-19
26;11;HealthMap;Taiwan News;6324333;2019-02-19
27;11;Taiwan News;China Animal Disease Control Center;6324333;2019-02-19
28;12;HealthMap;Taiwan News;6323366;2019-02-18
29;12;Taiwan News;China Animal Disease Control Center;6323366;2019-02-18
30;13;HealthMap;Twitter;6314472;2019-02-13
31;13;Twitter;FluTrackers;6314472;2019-02-13
32;13;FluTrackers;HindiNews;6314472;2019-02-09
32;13;HindiNews;District Animal Husbandry Department;6314472;2019-02-09
33;14;HealthMap;Xinhua;6314353;2019-02-13
34;14;Xinhua;Namibia Vet Auth;6314353;2019-02-13
35;15;HealthMap;The Namibian;6314163;2019-02-13
36;15;The Namibian;Namibia Vet Auth;6314163;2019-02-13
37;16;HealthMap;Hindustantimes;6311752;2019-02-12
38;16;Hindustantimes;District Animal Husbandry Department;6311752;2019-02-12
39;17;HealthMap;MENAFN;6309364;2019-02-09
40;17;MENAFN;UAE Environmental Ministry;6309364;2019-02-09
41;18;HealthMap;The Telegraph;6308893;2019-02-10
42;18;The Telegraph;NIHSAD;6308893;2019-02-10
43;19;HealthMap;Times of India;6307967;2019-02-10
44;19;Times of India;NIHSAD;6307967;2019-02-10
45;20;HealthMap;Focus Taiwan;6284159;2019-01-29
46;20;Focus Taiwan;China Animal Disease Control Center;6284159;2019-01-29
47;21;HealthMap;Odisha Bytes;6281111;2019-01-28
48;22;HealthMap;Twitter;6280498;2019-01-26
49;22;Twitter;FluTrackers;6280498;2019-01-26
50;23;HealthMap;Focus Taiwan;6279383;2019-01-26
51;23;Focus Taiwan;China Animal Disease Control Center;6279383;2019-01-26
52;24;HealthMap;Twitter;6276906;2019-01-25
53;24;Twitter;Avian Flu Diary;6276906;2019-01-25
54;24;Avian Flu Diary;Korea's ministry of environment;6276906;2019-01-25
55;25;HealthMap;ProMED;6265094;2019-01-17
56;25;ProMED;OIE;6265094;2019-01-17
57;25;OIE;UAE Vet Auth;6265094;2019-01-17
58;26;HealthMap;Emirates247;6263439;2019-01-17
59;26;Emirates247;OIE;6263439;2019-01-17
60;26;OIE;UAE Vet Auth;6263439;2019-01-17
61;27;HealthMap;United News of India;6262287;2019-01-12
62;28;HealthMap;Business Standard;6255423;2019-01-12
63;28;Business Standard;NIHSAD;6255423;2019-01-12
64;29;HealthMap;Business Standard;6255423;2019-01-12
65;29;Business Standard;Regional Diseases Diagnotic Laboratory;6255423;2019-01-12
66;30;HealthMap;Yonhap News;6251032;2019-01-10
