id_event;type_event;reference;disease;serotype;latitude;longitude;country;admin;locality;observationdate;reportingdate;host;type_host;at_risk;cases;dead;destroyed
293;official;238793;Influenza - Avian;H5N1 HPAI;6.105563;116.229785;Malaysia;Sabah;Kampung Kauluan;2018-07-27;2018-08-06;domestic, chicken;domestic;28000;3000;3000;25000
294;official;238790;Influenza - Avian;H5N6 HPAI;19.0306;105.5515;Viet Nam;Nghe An;Dien Lien;2018-07-28;2018-08-03;domestic, unspecified bird;domestic;2400;90;90;2310
295;official;238791;Influenza - Avian;H5N6 HPAI;20.9105;106.609;Viet Nam;Hai Phong City;An Hong;2018-07-28;2018-08-03;domestic, unspecified bird;domestic;4720;1000;500;4220
296;official;238792;Influenza - Avian;H5N6 HPAI;20.9063;106.5885;Viet Nam;Hai Phong City;An Hung;2018-07-30;2018-08-03;domestic, unspecified bird;domestic;5500;2000;1000;4500
297;official;239196;Influenza - Avian;H5N1 HPAI;6.06639;116.2287;Malaysia;Sabah;Kampung Kebayau;2018-08-03;2018-08-25;domestic, chicken;domestic;1100;1;0;1100
298;official;239017;Influenza - Avian;H5N2 HPAI;58.951231;46.514801;Russian Federation;Kostromskaya Oblast;Harino;2018-08-09;2018-08-16;domestic, unspecified bird;domestic;498485;506;506;1223
299;official;244962;Influenza - Avian;H5N1 HPAI;19.547775;85.267157;India;Orissa;Naba;2018-12-17;2019-01-04;domestic, unspecified bird;domestic;2500;2500;2500;0
300;official;244961;Influenza - Avian;H5N1 HPAI;19.539743;85.232267;India;Orissa;Nuagaon, Kantabania & Udayagiri;2018-12-17;2019-01-04;domestic, unspecified bird;domestic;5800;4728;4728;1072
301;official;239383;Influenza - Avian;H5N1 HPAI;11.97;105.67;Cambodia;Kampong Cham;Trorpang Sangker;2018-08-20;2018-08-31;domestic, unspecified bird;domestic;378;318;318;60
302;official;240233;Influenza - Avian;H7N3 LPAI;37.51;-120.988;United States of America;California;Stanislaus County;2018-09-06;2018-09-12;domestic, turkey;domestic;26258;NA;NA;26258
303;official;240405;Influenza - Avian;H7N3 LPAI;37.51;-120.988;United States of America;California;Stanislaus County;2018-09-12;2018-09-19;domestic, turkey;domestic;35000;NA;NA;35000
304;official;240524;Influenza - Avian;H5N8 HPAI;42.2089;24.8764;Bulgaria;Plovdiv;Trilistnik;2018-09-19;2018-09-19;domestic, unspecified bird;domestic;44063;415;415;43648
305;official;28066;Influenza - Avian;H7N3 LPAI;37.62;-120.969;United States of America;California;Stanislaus County;2018-09-08;2018-09-25;domestic, turkey;domestic;35162;NA;NA;NA
306;official;241211;Influenza - Avian;H7N3 LPAI;37.62;-120.969;United States of America;California;Stanislaus County;2018-10-04;2018-10-12;domestic, turkey;domestic;33400;NA;NA;NA
308;official;240709;Influenza - Avian;H5N6 HPAI;25.832;106.665;China;Guizhou Sheng;Xinmin Village;2018-09-07;2018-09-29;domestic, unspecified bird;domestic;37299;5297;4948;32351
309;official;240868;Influenza - Avian;H5N8 HPAI;42.2047;24.9581;Bulgaria;Plovdiv;Manolsko Konare;2018-10-03;2018-10-05;domestic, chicken, domestic, turkey;domestic;406;98;98;308
310;official;240989;Influenza - Avian;H5N6 HPAI;27.809;109.392;China;Hunan Sheng;Dutong Village,Chatian Township, Fenghuang County;2018-09-26;2018-10-09;domestic, unspecified bird;domestic;1414;516;385;1029
311;official;240960;Influenza - Avian;H5N2 HPAI;22.627445;120.525131;Taiwan (Province of China);Taiwan Sheng;Zhutian Township;2018-09-23;2018-10-08;domestic, duck;domestic;NA;60;60;NA
312;official;243495;Influenza - Avian;H5N2 HPAI;23.663665;120.323365;Taiwan (Province of China);Taiwan Sheng;Yuanchang Township;2018-11-21;2018-12-04;domestic, goose;domestic;1524;146;146;1378
313;official;241860;Influenza - Avian;H5 LPAI;36.75;127.75;Republic of Korea;Chungchongbuk-do;Cheongju Mihocheon in Chungbuk Province;2018-10-15;2018-10-18;environmental sample, unspecified bird;environmental;0;0;0;0
314;official;241909;Influenza - Avian;H5N2 LPAI;37.542616;127.462483;Republic of Korea;Kyonggi-do;mouth of the Han River in Paju, Gyeonggi province;2018-10-11;2018-10-18;environmental sample, unspecified bird;environmental;NA;NA;NA;NA
315;official;243494;Influenza - Avian;H5N2 HPAI;23.719285;120.235539;Taiwan (Province of China);Taiwan Sheng;Taixi Township;2018-11-15;2018-12-04;domestic, duck;domestic;2206;;;2206
316;official;241859;Influenza - Avian;H5N2 LPAI;35.816667;127.15;Republic of Korea;Chollabuk-do;Mt. Mangyeong River Estuary in Jeonbuk Province;2018-10-10;2018-10-18;environmental sample, unspecified bird;environmental;0;0;0;0
317;official;241761;Influenza - Avian;H5 HPAI;41.86;25.55;Bulgaria;Haskovo;Voyvodovo;2018-10-17;2018-10-18;domestic, duck;domestic;16000;331;331;15669
318;official;241765;Influenza - Avian;H5 HPAI;41.86;25.55;Bulgaria;Haskovo;Voyvodovo;2018-10-17;2018-10-18;domestic, chicken;domestic;130000;7387;7387;122613
319;official;241946;Influenza - Avian;H5N2 LPAI;45.122;-95.049;United States of America;Minnesota;Kandiyohi County;2018-10-19;2018-10-22;domestic, turkey;domestic;40000;NA;NA;NA
320;official;241947;Influenza - Avian;H5N1 HPAI;15.468588;106.532138;Lao People's Democratic Republic;Xekong;Kandonmai;2018-10-10;2018-10-22;domestic, unspecified bird;domestic;45;28;18;27
321;official;240718;Influenza - Avian;H5 HPAI;48.3498;40.2975;Russian Federation;Rostovskaya Oblast;Staraya Stanitsa;2018-09-24;2018-10-01;domestic, unspecified bird;domestic;274929;11979;11979;82
322;official;242015;Influenza - Avian;H5N6 HPAI;30.691;111.246;China;Hubei Sheng;Fanjiahu Village;2018-09-24;2018-10-24;domestic, unspecified bird;domestic;5337;340;340;4997
323;official;242153;Influenza - Avian;H5N8 HPAI;41.9667;25.4456;Bulgaria;Haskovo;Garvanovo;2018-10-26;2018-10-26;domestic, unspecified bird;domestic;12797;NA;NA;NA
324;official;242154;Influenza - Avian;H5N8 HPAI;41.86;25.6278;Bulgaria;Haskovo;Malevo;2018-10-26;2018-10-26;domestic, unspecified bird;domestic;1000;NA;NA;NA
325;official;242198;Influenza - Avian;H5N8 HPAI;42.1019;25.0244;Bulgaria;Plovdiv;Bogdanitsa village;2018-10-29;2018-10-31;domestic, chicken;domestic;39177;4200;4200;34977
326;official;242199;Influenza - Avian;H5N8 HPAI;42.0453;25.3508;Bulgaria;Haskovo;Varbitsa;2018-10-29;2018-10-31;domestic, duck;domestic;4000;20;NA;3980
327;official;242333;Influenza - Avian;H5N8 HPAI;41.8558;25.5444;Bulgaria;Haskovo;Voivodovo;2018-10-17;2018-10-31;domestic, unspecified bird;domestic;150;138;138;12
328;official;242389;Influenza - Avian;H5 HPAI;51.04813;39.95566;Russian Federation;Voronezhskaya Oblast;Bobrovsky;2018-10-31;2018-11-06;domestic, unspecified bird;domestic;342300;122300;122300;82
