id;id_path;source_1;source_2;id_from_source_1;date_edge
1;1;PADI-web;Gulf Business News;0732a35fad;2018-08-09
2;1;Gulf Business News;OIE;0732a35fad;2018-08-09
3;1;OIE;Malaysia Vet Auth;0732a35fad;2018-08-06
4;2;PADI-web;Reuters;62c651df87;2018-08-03
5;2;Reuters;OIE;62c651df87;2018-08-03
6;2;OIE;Vietnam Vet Auth;62c651df87;2018-08-03
7;3;PADI-web;Reuters;5OEBL52G86;2018-08-03
8;3;Reuters;OIE;5OEBL52G86;2018-08-03
9;3;OIE;Vietnam Vet Auth;5OEBL52G86;2018-08-03
10;4;PADI-web;The Star Online;2ff429a274;2018-08-04
11;4;The Star Online;Sabbah Vet Auth;2ff429a274;2018-08-04
12;5;PADI-web;Devdiscourse;c61fbdba19;2018-08-04
13;5;Devdiscourse;OIE;c61fbdba19;2018-08-04
14;5;OIE;Vietnam Vet Auth;c61fbdba19;2018-08-03
15;6;PADI-web;Devdiscourse;c61fbdba19;2018-08-04
16;6;Devdiscourse;OIE;c61fbdba19;2018-08-04
17;6;OIE;Vietnam Vet Auth;c61fbdba19;2018-08-03
18;7;PADI-web;Devdiscourse;c61fbdba19;2018-08-04
19;7;Devdiscourse;OIE;c61fbdba19;2018-08-04
20;7;OIE;Vietnam Vet Auth;c61fbdba19;2018-08-03
21;8;PADI-web;Deccan Chronicle;a4d1d4592c;2018-08-05
22;8;Deccan Chronicle;OIE;a4d1d4592c;2018-08-05
23;8;OIE;Vietnam Vet Auth;a4d1d4592c;2018-08-03
24;9;PADI-web;The Borneo Post;db0e1d1f0a;2018-08-06
25;9;The Borneo Post;Malaysia Vet Auth;db0e1d1f0a;2018-08-03
26;10;PADI-web;Devdiscourse;6ef1cd0ce0;2018-08-06
27;10;Devdiscourse;OIE;6ef1cd0ce0;2018-08-06
28;10;OIE;Malaysia Vet Auth;6ef1cd0ce0;2018-08-06
29;11;PADI-web;The Malaysian Insight;b92766face;2018-08-06
30;11;The Malaysian Insight;Sabbah Vet Auth;b92766face;2018-08-06
31;12;PADI-web;The Borneo Post;b019dcb030;2018-08-07
32;12;The Borneo Post;Sabbah Vet Auth;b019dcb030;2018-08-07
33;13;PADI-web;MalayMail;84a529e3e0;2018-08-07
34;13;MalayMail;Sabbah Vet Auth;84a529e3e0;2018-08-07
35;14;PADI-web;Reuters;4R233CGFXA;2018-08-07
36;14;Reuters;OIE;4R233CGFXA;2018-08-07
37;14;OIE;Malaysia Vet Auth;4R233CGFXA;2018-08-06
38;15;PADI-web;The Star Online;NE2RP7X9IN;2018-08-07
39;15;The Star Online;Sabbah Vet Auth;NE2RP7X9IN;2018-08-07
40;16;PADI-web;Devdiscourse;ec419c3189;2018-08-07
41;16;Devdiscourse;Reuters;ec419c3189;2018-08-07
42;16;Reuters;OIE;ec419c3189;2018-08-07
43;16;OIE;Malaysia Vet Auth;ec419c3189;2018-08-06
44;17;PADI-web;The Strait Times;531daa5d7d;2018-08-07
45;17;The Strait Times;Reuters;531daa5d7d;2018-08-07
46;17;Reuters;OIE;531daa5d7d;2018-08-07
47;17;OIE;Malaysia Vet Auth;531daa5d7d;2018-08-06
