"id";"source"
1;"HealthMap"
2;"Twitter"
3;"OIE"
4;"The Moveefy"
5;"Bulgaria Vet Auth"
6;"Reuters"
7;"KFGO News"
8;"Novinite.com (Sofia News Agency)"
9;"Focus Taiwan"
10;"Antara News"
11;"News Agency of Nigeria"
12;"Taiwan News"
13;"Shine News"
14;"Channel NewsAsia"
15;"India Vet Auth"
16;"Hindustantimes"
17;"HindiNews"
18;"Times of India"
19;"FluTrackers"
20;"Crofsblog"
21;"Odisha Bytes"
22;"Down To Earth Magazine"
23;"VietnamNews"
24;"The Indian Tribune"
25;"Avian Flu Diary"
26;"Zeenews"
27;"ProMED"
28;"Fisheries and Animal Ressources Developpment Department"
29;"Yonhap News"
30;"Kuwait news agency"
31;"Xinhua"
32;"Free Malaysia Today"
33;"The Namibian"
34;"Setopati"
35;"Daily Trust"
36;"Pulse.ng"
37;"Today.ng"
38;"Business Standard"
39;"kalingaTV"
40;"The Telegraph"
41;"India Today"
42;"Financial Tribune"
43;"UAE Ministery of Climate Change and Environment"
44;"Emirates247"
45;"The Hindu"
46;"Agriculture.com"
47;"Yahoo News"
48;"American Veterinary Medical Association"
49;"The Strait Times"
50;"WSAU"
51;"Physician's Weekly"
52;"Malaysia Vet Auth"
53;"The Malaysian Insight"
54;"The Star Online"
55;"MENAFN"
56;"The Poultry Site"
57;"WGME"
58;"VnExpress International"
59;"Bhutan Vet Auth"
60;"Bihar animal husbandry department"
61;"Bulgaria's National Reference Laboratory"
62;"Bureau of Animal and Plant Health Inspection and Quarantine (Taiwan)"
63;"Cambodia Vet Auth"
64;"Chief of Agricultural Service, Bandarlampung"
65;"Chief vet of the state"
66;"Chief Veterinary Officer of the Plateau State"
67;"China Animal Disease Control Center"
68;"China Animal Health and Epidemiolology Center"
69;"China Vet Auth"
70;"Denmark Vet Auth"
71;"District Animal Husbandry Department"
72;"Divisionnal commissioner"
73;"Egypt Vet Auth"
74;"Focus News"
75;"Gaya administrator"
76;"Hon Dat District animal husbandry division"
77;"India's government"
78;"India Chief Conservator of Forests Bihar"
79;"Iran Vet Auth"
80;"Khmer Times"
81;"KNUJ"
82;"Korea's ministry of environment"
83;"Kuwait's ministry of environment"
84;"Kuwait Vet Auth"
85;"Leader Telegram"
86;"Long An Department of Agriculture and Rural Development"
87;"Namibia Vet Auth"
88;"Nepal's Department of Livestock Services"
89;"NIHSAD"
90;"Patna Zoo Director"
91;"Pioneer Press"
92;"Quang Nam agriculture center"
93;"Ranchi zoo vet"
94;"Regional Diseases Diagnotic Laboratory"
95;"Russia Vet Auth"
96;"Sabah Veterinary Services Department"
97;"Sabbah Vet Auth"
98;"Star Tribune"
99;"Taiwan Vet Auth"
100;"The Himalayan Times"
101;"The Tribune"
102;"UAE Environmental Ministry"
103;"UAE Vet Auth"
104;"United News of India"
105;"US Vet Auth"
106;"USA National Oceanic and Atmospheric Administration"
107;"Vietnam Vet Auth"
108;"Whatsapp"
