"type_source";"n";"prop";"name_style";"type"
"national vet auth.";227;-0.692073170731707;"National vet. auth.";"primary"
"local vet auth.";64;-0.195121951219512;"Local vet. auth.";"primary"
"online news source";16;-0.0487804878048781;"Online news";"primary"
"local off. auth.";8;-0.024390243902439;"Local auth.";"primary"
"laboratory";5;-0.0152439024390244;"Laboratory";"primary"
"radio, TV";3;-0.00914634146341463;"Radio, TV";"primary"
"national off. auth.";2;-0.00609756097560976;"National auth.";"primary"
"research org.";2;-0.00609756097560976;"Research org.";"primary"
"press agency";1;-0.00304878048780488;"Press agency";"primary"
"international vet auth.";0;0;"International vet. auth.";"primary"
"social platform";0;0;"Social platform";"primary"
"international vet auth.";134;0.422712933753943;"International vet. auth.";"secondary"
"laboratory";0;0;"Laboratory";"secondary"
"local off. auth.";1;0.00315457413249211;"Local auth.";"secondary"
"local vet auth.";5;0.0157728706624606;"Local vet. auth.";"secondary"
"national off. auth.";4;0.0126182965299685;"National auth.";"secondary"
"national vet auth.";4;0.0126182965299685;"National vet. auth.";"secondary"
"online news source";99;0.312302839116719;"Online news";"secondary"
"press agency";55;0.173501577287066;"Press agency";"secondary"
"radio, TV";12;0.0378548895899054;"Radio, TV";"secondary"
"research org.";1;0.00315457413249211;"Research org.";"secondary"
"social platform";2;0.00630914826498423;"Social platform";"secondary"
