"type_source";"n";"prop";"name_style";"type"
"national vet auth.";38;-0.633333333333333;"National vet. auth.";"primary"
"online news source";7;-0.116666666666667;"Online news";"primary"
"national off. auth.";4;-0.0666666666666667;"National auth.";"primary"
"laboratory";3;-0.05;"Laboratory";"primary"
"local vet auth.";3;-0.05;"Local vet. auth.";"primary"
"press agency";3;-0.05;"Press agency";"primary"
"radio, TV";1;-0.0166666666666667;"Radio, TV";"primary"
"social platform";1;-0.0166666666666667;"Social platform";"primary"
"international vet auth.";0;0;"International vet. auth.";"primary"
"local off. auth.";0;0;"Local auth.";"primary"
"research org.";0;0;"Research org.";"primary"
"international vet auth.";17;0.333333333333333;"International vet. auth.";"secondary"
"laboratory";0;0;"Laboratory";"secondary"
"local off. auth.";0;0;"Local auth.";"secondary"
"local vet auth.";0;0;"Local vet. auth.";"secondary"
"national off. auth.";0;0;"National auth.";"secondary"
"national vet auth.";2;0.0392156862745098;"National vet. auth.";"secondary"
"online news source";9;0.176470588235294;"Online news";"secondary"
"press agency";16;0.313725490196078;"Press agency";"secondary"
"radio, TV";1;0.0196078431372549;"Radio, TV";"secondary"
"research org.";1;0.0196078431372549;"Research org.";"secondary"
"social platform";5;0.0980392156862745;"Social platform";"secondary"
