"type_source";"n";"n_unique";"prop_unique"
"EBS tool";2;2;0.0512820512820513
"international vet auth.";1;NA;NA
"laboratory";3;2;0.0512820512820513
"local off. auth.";4;1;0.0256410256410256
"local vet auth.";9;5;0.128205128205128
"national off. auth.";6;4;0.102564102564103
"national vet auth.";22;5;0.128205128205128
"online news source";39;10;0.256410256410256
"press agency";11;4;0.102564102564103
"radio, TV";4;2;0.0512820512820513
"research org.";2;1;0.0256410256410256
"social platform";5;3;0.0769230769230769
