"type_source";"n";"n_unique";"prop_unique"
"EBS tool";1;1;0.00552486187845304
"international vet auth.";1;NA;NA
"laboratory";6;5;0.0276243093922652
"local off. auth.";15;12;0.0662983425414365
"local person";3;3;0.0165745856353591
"local vet auth.";33;29;0.160220994475138
"national off. auth.";5;3;0.0165745856353591
"national vet auth.";35;18;0.0994475138121547
"online news source";119;90;0.497237569060773
"press agency";12;5;0.0276243093922652
"private company";2;2;0.0110497237569061
"radio, TV";11;9;0.0497237569060773
"research org.";4;3;0.0165745856353591
"social platform";3;1;0.00552486187845304
