"Var2";"Var1";"value";"Group1";"Specialization1";"Focus1";"Group2";"Specialization2";"Focus2"
"Acting Chief Veterinary Officier";"The Namibian";1;"online news source";"general";"national";"national vet auth.";"specialized";"national"
"Acting Chief Veterinary Officier";"Informante.web";1;"online news source";"general";"international";"national vet auth.";"specialized";"national"
"African Daily Voice";"PADI-web";1;"EBS tool";"specialized";"international";"press agency";"general";"international"
"AG Week";"PADI-web";2;"EBS tool";"specialized";"international";"online news source";"general";"international"
"Agriculture.com";"PADI-web";2;"EBS tool";"specialized";"international";"online news source";"specialized";"international"
"Agriland";"PADI-web";1;"EBS tool";"specialized";"international";"online news source";"general";"international"
"Al-Rai Daily";"Arab Times";1;"online news source";"general";"international";"online news source";"general";"international"
"allAfrica";"PADI-web";3;"EBS tool";"specialized";"international";"online news source";"general";"international"
"Animal Disease Research Laboratory of Cuttack";"Down To Earth Magazine";1;"online news source";"general";"international";"laboratory";"specialized";"local"
"Arab Times";"PADI-web";1;"EBS tool";"specialized";"international";"online news source";"general";"international"
"ArabianBusiness";"PADI-web";3;"EBS tool";"specialized";"international";"online news source";"general";"international"
"Associated Press";"DesMoinesRegister.com";1;"online news source";"general";"international";"press agency";"general";"international"
"Associated Press";"Star Tribune";3;"online news source";"general";"international";"press agency";"general";"international"
"Associated Press";"Austin Herald";1;"online news source";"general";"international";"press agency";"general";"international"
"Associated Press";"Sentinel and Enterprise";1;"online news source";"general";"international";"press agency";"general";"international"
"Associated Press";"Pioneer Press";1;"online news source";"general";"international";"press agency";"general";"international"
"Austin Herald";"PADI-web";1;"EBS tool";"specialized";"international";"online news source";"general";"international"
"Avian Flu Diary";"CIDRAP";5;"research org.";"specialized";"international";"social platform";"specialized";"international"
"Bangladesh Vet Auth";"OIE";1;"international vet auth.";"specialized";"international";"national vet auth.";"specialized";"national"
"Belgium Vet Auth";"WATTAgNet";1;"online news source";"specialized";"international";"national vet auth.";"specialized";"national"
"Belgium Vet Auth";"Brussels Times";2;"online news source";"general";"international";"national vet auth.";"specialized";"national"
"Belgium Vet Auth";"FarmingUK";1;"online news source";"general";"national";"national vet auth.";"specialized";"national"
"Bemidji Pioneer";"Grand Forks Herald";1;"online news source";"general";"international";"online news source";"general";"local"
"Bemidji Pioneer";"PADI-web";1;"EBS tool";"specialized";"international";"online news source";"general";"local"
"Bengaluru Deputy Conservator of Forests";"Deccan Herald";1;"online news source";"general";"international";"local off. auth.";"specialized";"local"
"Bhutan's National Center for Animal Health (NCAH)";"Bhutan Vet Auth";1;"national vet auth.";"specialized";"national";"laboratory";"specialized";"national"
"Bhutan Vet Auth";"OIE";2;"international vet auth.";"specialized";"international";"national vet auth.";"specialized";"national"
"Bhutan Vet Auth";"Kuensel";1;"online news source";"general";"international";"national vet auth.";"specialized";"national"
"Bihar animal husbandry department";"Down To Earth Magazine";1;"online news source";"general";"international";"local vet auth.";"specialized";"local"
"Bihar animal husbandry department";"The New Indian Express";1;"online news source";"general";"national";"local vet auth.";"specialized";"local"
"Bihar animal husbandry department";"India Today";1;"online news source";"general";"national";"local vet auth.";"specialized";"local"
"Bihar animal husbandry department";"Xinhua";2;"press agency";"general";"international";"local vet auth.";"specialized";"local"
"Bihar animal husbandry department";"Press Trust of India";1;"online news source";"general";"national";"local vet auth.";"specialized";"local"
