"Source";"Target";"weight"
"Agriculture.com";"HealthMap";1
"American Veterinary Medical Association";"Twitter";2
"Antara News";"Twitter";1
"Avian Flu Diary";"Twitter";3
"Bhutan Vet Auth";"OIE";1
"Bihar animal husbandry department";"The Moveefy";1
"Bulgaria's National Reference Laboratory";"Bulgaria Vet Auth";1
"Bulgaria Vet Auth";"KFGO News";1
"Bulgaria Vet Auth";"Novinite.com (Sofia News Agency)";1
"Bulgaria Vet Auth";"Reuters";7
"Bureau of Animal and Plant Health Inspection and Quarantine (Taiwan)";"Focus Taiwan";1
"Business Standard";"HealthMap";2
"Cambodia Vet Auth";"OIE";2
"Channel NewsAsia";"HealthMap";3
"Chief of Agricultural Service, Bandarlampung";"Antara News";1
"Chief vet of the state";"News Agency of Nigeria";1
"Chief Veterinary Officer of the Plateau State";"News Agency of Nigeria";2
"China Animal Disease Control Center";"Focus Taiwan";2
"China Animal Disease Control Center";"Taiwan News";2
"China Animal Health and Epidemiolology Center";"Reuters";2
"China Vet Auth";"Channel NewsAsia";1
"China Vet Auth";"Reuters";3
"China Vet Auth";"Shine News";1
"Crofsblog";"Twitter";2
"Daily Trust";"HealthMap";1
"Denmark Vet Auth";"OIE";1
"District Animal Husbandry Department";"HindiNews";1
"District Animal Husbandry Department";"Hindustantimes";1
"District Animal Husbandry Department";"India Vet Auth";1
"Divisionnal commissioner";"Times of India";1
"Down To Earth Magazine";"HealthMap";1
"Egypt Vet Auth";"FluTrackers";1
"Emirates247";"HealthMap";1
"Financial Tribune";"HealthMap";1
"Fisheries and Animal Ressources Developpment Department";"Crofsblog";1
"Fisheries and Animal Ressources Developpment Department";"Down To Earth Magazine";1
"Fisheries and Animal Ressources Developpment Department";"Odisha Bytes";1
"FluTrackers";"Twitter";4
"Focus News";"HealthMap";2
"Focus Taiwan";"HealthMap";4
"Free Malaysia Today";"HealthMap";1
"Gaya administrator";"Times of India";1
"HindiNews";"FluTrackers";1
"Hindustantimes";"HealthMap";1
"Hon Dat District animal husbandry division";"VietnamNews";1
"India's government";"The Indian Tribune";1
"India Chief Conservator of Forests Bihar";"Avian Flu Diary";1
"India Today";"HealthMap";2
"India Vet Auth";"Fisheries and Animal Ressources Developpment Department";1
"India Vet Auth";"FluTrackers";1
"India Vet Auth";"ProMED";1
"India Vet Auth";"Times of India";1
"India Vet Auth";"Zeenews";1
"Iran Vet Auth";"OIE";2
"kalingaTV";"HealthMap";1
"KFGO News";"HealthMap";1
